cover_image,like_count,name,source,sources,tags,url,view_count
http://hentaidude.com/wp-content/uploads/2018/04/ecchi-na-futari-musume-cover-cover.jpg, 24 ,Ecchi Na Futari Musume ,http://cdn1.hentaidude.com/videos/Ecchi_Na_Futari_Musume.mp4,http://cdn1.hentaidude.com/videos/Ecchi_Na_Futari_Musume.mp4,3D Hentai,http://hentaidude.com/ecchi-na-futari-musume/, 8154
http://hentaidude.com/wp-content/uploads/2018/04/hot-girl-fucked-hard-by-a-monster-cover-cover.jpg, 26 ,Hot girl fucked hard by a monster ,http://cdn1.hentaidude.com/videos/Hot-Girl-Fucked-Hard-By-A-Monster.mp4,http://cdn1.hentaidude.com/videos/Hot-Girl-Fucked-Hard-By-A-Monster.mp4,3D Hentai,http://hentaidude.com/hot-girl-fucked-hard-by-a-monster/, 7933
http://hentaidude.com/wp-content/uploads/2018/04/hito-no-manekata-cover.jpg, 50 ,Hito no manekata ,http://cdn1.hentaidude.com/videos/Hito-no-manekata.mp4,http://cdn1.hentaidude.com/videos/Hito-no-manekata.mp4,3D Hentai,http://hentaidude.com/hito-no-manekata/, 8176
http://hentaidude.com/wp-content/uploads/2018/04/liru-wolf-girl-with-you-christmas-extra-cover-cover.jpg, 20 ,Liru wolf girl with you Christmas extra ,http://cdn1.hentaidude.com/videos/liru-wolf-girl-with-you-christmas-extra.mp4,http://cdn1.hentaidude.com/videos/liru-wolf-girl-with-you-christmas-extra.mp4,3D Hentai,http://hentaidude.com/liru-wolf-girl-with-you-christmas-extra/, 4510
http://hentaidude.com/wp-content/uploads/2018/04/tensei-kendo-no-harem-colosseum-ep-3-cover.jpg, 12 ,Tensei kendo no harem colosseum – Episode 3 ,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-3.mp4,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-3.mp4,"big boobs,blowjob,loli",http://hentaidude.com/tensei-kendo-no-harem-colosseum-episode-3/, 3448
http://hentaidude.com/wp-content/uploads/2018/04/tensei-kendo-no-harem-colosseum-ep-1-cover.jpg, 6 ,Tensei kendo no harem colosseum – Episode 1 ,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-1.mp4,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-1.mp4,"blowjob,creampie,public sex,rape",http://hentaidude.com/tensei-kendo-no-harem-colosseum-episode-1/, 4147
http://hentaidude.com/wp-content/uploads/2018/04/tamashii-insert-ep-1-cover.jpg, 21 ,Tamashii Insert – Episode 1 ,http://cdn1.hentaidude.com/videos/Tamashii-Insert-1.mp4,http://cdn1.hentaidude.com/videos/Tamashii-Insert-1.mp4,"creampie,incest,virgin,x ray",http://hentaidude.com/tamashii-insert-episode-1/, 5270
http://hentaidude.com/wp-content/uploads/2018/04/tamashii-insert-ep-2-cover.jpg, 10 ,Tamashii Insert – episode 2 ,http://cdn1.hentaidude.com/videos/Tamashii-Insert-2.mp4,http://cdn1.hentaidude.com/videos/Tamashii-Insert-2.mp4,"blowjob,creampie,school girl,x ray",http://hentaidude.com/tamashii-insert-episode-2/, 3324
http://hentaidude.com/wp-content/uploads/2018/04/tensei-kendo-no-harem-colosseum-ep-4-cover.jpg, 7 ,Tensei kendo no harem colosseum – Episode 4 ,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-4.mp4,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-4.mp4,"creampie,fantasy,threesome,titsjob",http://hentaidude.com/tensei-kendo-no-harem-colosseum-episode-4/, 1842
http://hentaidude.com/wp-content/uploads/2018/04/ikkyuu-nyuukon-ep-2-cover.jpg, 20 ,Ikkyuu nyuukon – Episode 2 ,http://cdn1.hentaidude.com/videos/ikkyuu-nyuukon-2.mp4,http://cdn1.hentaidude.com/videos/ikkyuu-nyuukon-2.mp4,,http://hentaidude.com/ikkyuu-nyuukon-episode-2/, 3540
http://hentaidude.com/wp-content/uploads/2018/04/tensei-kendo-no-harem-colosseum-ep-2-cover.jpg, 13 ,Tensei kendo no harem colosseum – Episode 2 ,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-2.mp4,http://cdn1.hentaidude.com/videos/tensei-kendo-no-harem-colosseum-2.mp4,"creampie,loli",http://hentaidude.com/tensei-kendo-no-harem-colosseum-episode-2/, 3392
